# category	id	name	rarity	icon	desc	acquire	track	tags
appearances	Feet_Z2U1_Ass	Bottes d'aventure légères	1	20		Uncommon gear from Vallée de l'éternel automne enemies		slot:Feet,class:Rogue
appearances	Feet_RManfish_FigWiz	Bottes d'essence abyssale	2	21		Drops from Manfish enemies	Manfish - Meridion Ruins@-199.2,1739.9,6.2;Manfish - Meridion Beach@-225.7,1943.9,5.8;Manfish - Krisomal Priaire@1786,642.2,4.9	slot:Feet,class:Warrior,class:Mage
appearances	Feet_Z1U1_AssCle	Bottes d'exil éthérées	1	22		Uncommon gear from Île de Skover enemies		slot:Feet,class:Rogue,class:Priest
appearances	Feet_Z1U1_AssWiz	Bottes d'exil imprégnées	1	23		Uncommon gear from Île de Skover enemies		slot:Feet,class:Rogue,class:Mage
appearances	Feet_Z1U1_Ass	Bottes d'exil légères	1	24		Uncommon gear from Île de Skover enemies		slot:Feet,class:Rogue
appearances	Feet_Z1U2_AssCle	Bottes d'intrusion éthérées	1	25		Uncommon gear from Île de Skover enemies		slot:Feet,class:Rogue,class:Priest
appearances	Feet_Z1U2_AssWiz	Bottes d'intrusion imprégnées	1	26		Uncommon gear from Île de Skover enemies		slot:Feet,class:Rogue,class:Mage
appearances	Feet_Z1U2_Ass	Bottes d'intrusion légères	1	27		Uncommon gear from Île de Skover enemies		slot:Feet,class:Rogue
appearances	Feet_Z2U1_FigCle	Bottes de guerre d'aventure bénies	1	28		Uncommon gear from Vallée de l'éternel automne enemies		slot:Feet,class:Warrior,class:Priest
appearances	Feet_Z2U1_FigAss	Bottes de guerre d'aventure condensées	1	29		Uncommon gear from Vallée de l'éternel automne enemies		slot:Feet,class:Warrior,class:Rogue
appearances	Feet_Z2U1_FigWiz	Bottes de guerre d'aventure protégées	1	30		Uncommon gear from Vallée de l'éternel automne enemies		slot:Feet,class:Warrior,class:Mage
appearances	Feet_Z2U1_Fig	Bottes de guerre d'aventure renforcées	1	31		Uncommon gear from Vallée de l'éternel automne enemies		slot:Feet,class:Warrior
appearances	Feet_Z1U1_FigCle	Bottes de guerre d'exil bénies	1	32		Uncommon gear from Île de Skover enemies		slot:Feet,class:Warrior,class:Priest
appearances	Feet_Z1U1_FigAss	Bottes de guerre d'exil condensées	1	33		Uncommon gear from Île de Skover enemies		slot:Feet,class:Warrior,class:Rogue
appearances	Feet_Z1U1_FigWiz	Bottes de guerre d'exil protégées	1	34		Uncommon gear from Île de Skover enemies		slot:Feet,class:Warrior,class:Mage
appearances	Feet_Z1U1_Fig	Bottes de guerre d'exil renforcées	1	35		Uncommon gear from Île de Skover enemies		slot:Feet,class:Warrior
appearances	Feet_Z1U2_FigCle	Bottes de guerre d'intrusion bénies	1	36		Uncommon gear from Île de Skover enemies		slot:Feet,class:Warrior,class:Priest
appearances	Feet_Z1U2_FigAss	Bottes de guerre d'intrusion condensées	1	37		Uncommon gear from Île de Skover enemies		slot:Feet,class:Warrior,class:Rogue
appearances	Feet_Z1U2_FigWiz	Bottes de guerre d'intrusion protégées	1	38		Uncommon gear from Île de Skover enemies		slot:Feet,class:Warrior,class:Mage
appearances	Feet_Z1U2_Fig	Bottes de guerre d'intrusion renforcées	1	39		Uncommon gear from Île de Skover enemies		slot:Feet,class:Warrior
appearances	Feet_Z2U2_FigAss	Bottes de guerre de voyage condensées	1	40		Uncommon gear from Vallée de l'éternel automne enemies		slot:Feet,class:Warrior,class:Rogue
appearances	Feet_Z2U2_FigWiz	Bottes de guerre de voyage protégées	1	41		Uncommon gear from Vallée de l'éternel automne enemies		slot:Feet,class:Warrior,class:Mage
appearances	Feet_Z2U2_Fig	Bottes de guerre de voyage renforcées	1	42		Uncommon gear from Vallée de l'éternel automne enemies		slot:Feet,class:Warrior
appearances	Feet_Z2U2_AssCle	Bottes de voyage éthérées	1	43		Uncommon gear from Vallée de l'éternel automne enemies		slot:Feet,class:Rogue,class:Priest
appearances	Feet_Z2U2_AssWiz	Bottes de voyage imprégnées	1	44		Uncommon gear from Vallée de l'éternel automne enemies		slot:Feet,class:Rogue,class:Mage
appearances	Feet_Z2U2_Ass	Bottes de voyage légères	1	45		Uncommon gear from Vallée de l'éternel automne enemies		slot:Feet,class:Rogue
appearances	Feet_Starter_Ass	Bottes de voyou	0	46		Starting outfit		slot:Feet,class:Rogue
appearances	Hands_Z2U1_AssCle	Brassards d'aventure éthérés	1	47		Uncommon gear from Vallée de l'éternel automne enemies		slot:Hands,class:Rogue,class:Priest
appearances	Hands_Z2U1_AssWiz	Brassards d'aventure imprégnés	1	48		Uncommon gear from Vallée de l'éternel automne enemies		slot:Hands,class:Rogue,class:Mage
appearances	Hands_Z2U1_Ass	Brassards d'aventure légers	1	49		Uncommon gear from Vallée de l'éternel automne enemies		slot:Hands,class:Rogue
appearances	Hands_RBee_AssWiz	Brassards de l'essaim	2	50		Drops from Bee enemies	Bee - Nescent Hive@2074.8,141.1,-21.7;Bee - Honeywoods Canopy@-1060.4,908.6,195.2;Bee - Nescent Hive@2059.1,310,41.2	slot:Hands,class:Rogue,class:Mage
appearances	Hands_Z2U2_AssCle	Brassards de voyage éthérés	1	51		Uncommon gear from Vallée de l'éternel automne enemies		slot:Hands,class:Rogue,class:Priest
appearances	Hands_Z2U2_AssWiz	Brassards de voyage imprégnés	1	52		Uncommon gear from Vallée de l'éternel automne enemies		slot:Hands,class:Rogue,class:Mage
appearances	Hands_Z2U2_Ass	Brassards de voyage légers	1	53		Uncommon gear from Vallée de l'éternel automne enemies		slot:Hands,class:Rogue
appearances	Shoulders_Z2U1_AssCle	Bretelles d'aventure éthérées	1	54		Uncommon gear from Vallée de l'éternel automne enemies		slot:Shoulders,class:Rogue,class:Priest
appearances	Shoulders_Z2U1_AssWiz	Bretelles d'aventure imprégnées	1	55		Uncommon gear from Vallée de l'éternel automne enemies		slot:Shoulders,class:Rogue,class:Mage
appearances	Shoulders_Z2U1_Ass	Bretelles d'aventure légères	1	56		Uncommon gear from Vallée de l'éternel automne enemies		slot:Shoulders,class:Rogue
appearances	Shoulders_Z2U2_AssCle	Bretelles de voyage éthérées	1	57		Uncommon gear from Vallée de l'éternel automne enemies		slot:Shoulders,class:Rogue,class:Priest
appearances	Shoulders_Z2U2_AssWiz	Bretelles de voyage imprégnées	1	58		Uncommon gear from Vallée de l'éternel automne enemies		slot:Shoulders,class:Rogue,class:Mage
appearances	Shoulders_Z2U2_Ass	Bretelles de voyage légères	1	59		Uncommon gear from Vallée de l'éternel automne enemies		slot:Shoulders,class:Rogue
appearances	Shoulders_RKobold_Wiz	Brides de chasse au trésor	2	60		Drops from Kobold enemies	Kobold - Eksod Kobolds@1100.1,-914.2,1.2;Kobold - Enripit Hollow@-567.2,388.7,3;Kobold - Enripit Hollow@-286.2,824.9,54.5	slot:Shoulders,class:Mage
appearances	Back_RKobold_FigWiz	Brie von de Cape	2	61		Drops from Kobold enemies	Kobold - Eksod Kobolds@1100.1,-914.2,1.2;Kobold - Enripit Hollow@-567.2,388.7,3;Kobold - Enripit Hollow@-286.2,824.9,54.5	slot:Back,class:Warrior,class:Mage
appearances	Chest_Starter_Fig	Brigandine d'écuyer	0	62		Starting outfit		slot:Chest,class:Warrior
appearances	Back_RManfish_FigCle	Cape cuirassée de Jenny Hanibal	2	63		Drops from Manfish enemies	Manfish - Meridion Ruins@-199.2,1739.9,6.2;Manfish - Meridion Beach@-225.7,1943.9,5.8;Manfish - Krisomal Priaire@1786,642.2,4.9	slot:Back,class:Warrior,class:Priest
appearances	Back_RManfish_AssWiz	Cape d'apôtre de la Troisième vague	2	64		Drops from Manfish enemies	Manfish - Meridion Ruins@-199.2,1739.9,6.2;Manfish - Meridion Beach@-225.7,1943.9,5.8;Manfish - Krisomal Priaire@1786,642.2,4.9	slot:Back,class:Rogue,class:Mage
appearances	Shoulders_RDemon_Ass_Craft	Cape de chasseur de démons	2	65		Craft: Outfitter (lvl 6)		slot:Shoulders,class:Any
appearances	Shoulders_RCrimson_AssCle	Cape de noblesse	2	66		Drops from Crimson enemies	Crimson - CrimsonIsland Cathedral@542.1,-860.5,219.8;Crimson - Krisomal Priaire@1242.8,714.8,101.4;Crimson - CrimsonIsland South@318.6,-592.2,111.5	slot:Shoulders,class:Rogue,class:Priest
appearances	Back_RDemon_Cle	Cape déchirâme	2	67		Drops: Demonic Rifts	Rift - Krisomal North@1550.3,999.6,211.5	slot:Back,class:Priest
appearances	Shoulders_RDemon_AssWiz	Cape démoniaque	2	68		Drops: Demonic Rifts	Rift - Krisomal North@1550.3,999.6,211.5	slot:Shoulders,class:Rogue,class:Mage
appearances	Back_RCrimson_AssCle_Craft	Cape du lever du crépuscule	2	69		Craft: Outfitter (lvl 5)		slot:Back,class:Any
appearances	Back_RCrimson_WizCle	Cape sacrificielle	2	70		Drops from Crimson enemies	Crimson - CrimsonIsland Cathedral@542.1,-860.5,219.8;Crimson - Krisomal Priaire@1242.8,714.8,101.4;Crimson - CrimsonIsland South@318.6,-592.2,111.5	slot:Back,class:Mage,class:Priest
appearances	Head_RManfish_Wiz	Capuchon de la marée	2	71		Drops from Manfish enemies	Manfish - Meridion Ruins@-199.2,1739.9,6.2;Manfish - Meridion Beach@-225.7,1943.9,5.8;Manfish - Krisomal Priaire@1786,642.2,4.9	slot:Head,class:Mage
appearances	Head_RKobold_FigCle	Casquette portuaire cuirassée	2	72		Drops from Kobold enemies	Kobold - Eksod Kobolds@1100.1,-914.2,1.2;Kobold - Enripit Hollow@-567.2,388.7,3;Kobold - Enripit Hollow@-286.2,824.9,54.5	slot:Head,class:Warrior,class:Priest
appearances	Waist_Z2U1_Wiz	Ceinture d'aventure enchantée	1	73		Uncommon gear from Vallée de l'éternel automne enemies		slot:Waist,class:Mage
appearances	Waist_Z2U1_AssCle	Ceinture d'aventure éthérée	1	74		Uncommon gear from Vallée de l'éternel automne enemies		slot:Waist,class:Rogue,class:Priest
appearances	Waist_Z2U1_AssWiz	Ceinture d'aventure imprégnée	1	75		Uncommon gear from Vallée de l'éternel automne enemies		slot:Waist,class:Rogue,class:Mage
appearances	Waist_Z2U1_Ass	Ceinture d'aventure légère	1	76		Uncommon gear from Vallée de l'éternel automne enemies		slot:Waist,class:Rogue
appearances	Waist_Z2U1_WizCle	Ceinture d'aventure runique	1	77		Uncommon gear from Vallée de l'éternel automne enemies		slot:Waist,class:Mage,class:Priest
appearances	Waist_Z2U1_Cle	Ceinture d'aventure sacrée	1	78		Uncommon gear from Vallée de l'éternel automne enemies		slot:Waist,class:Priest
appearances	Waist_Z1U1_Wiz	Ceinture d'exil enchantée	1	79		Uncommon gear from Île de Skover enemies		slot:Waist,class:Mage
appearances	Waist_Z1U1_AssCle	Ceinture d'exil éthérée	1	80		Uncommon gear from Île de Skover enemies		slot:Waist,class:Rogue,class:Priest
appearances	Waist_Z1U1_AssWiz	Ceinture d'exil imprégnée	1	81		Uncommon gear from Île de Skover enemies		slot:Waist,class:Rogue,class:Mage
appearances	Waist_Z1U1_Ass	Ceinture d'exil légère	1	82		Uncommon gear from Île de Skover enemies		slot:Waist,class:Rogue
appearances	Waist_Z1U1_WizCle	Ceinture d'exil runique	1	83		Uncommon gear from Île de Skover enemies		slot:Waist,class:Mage,class:Priest
appearances	Waist_Z1U1_Cle	Ceinture d'exil sacrée	1	84		Uncommon gear from Île de Skover enemies		slot:Waist,class:Priest
appearances	Waist_Z1U2_Wiz	Ceinture d'intrusion enchantée	1	85		Uncommon gear from Île de Skover enemies		slot:Waist,class:Mage
appearances	Waist_Z1U2_AssCle	Ceinture d'intrusion éthérée	1	86		Uncommon gear from Île de Skover enemies		slot:Waist,class:Rogue,class:Priest
appearances	Waist_Z1U2_AssWiz	Ceinture d'intrusion imprégnée	1	87		Uncommon gear from Île de Skover enemies		slot:Waist,class:Rogue,class:Mage
appearances	Waist_Z1U2_Ass	Ceinture d'intrusion légère	1	88		Uncommon gear from Île de Skover enemies		slot:Waist,class:Rogue
appearances	Waist_Z1U2_WizCle	Ceinture d'intrusion runique	1	89		Uncommon gear from Île de Skover enemies		slot:Waist,class:Mage,class:Priest
appearances	Waist_Z1U2_Cle	Ceinture d'intrusion sacrée	1	90		Uncommon gear from Île de Skover enemies		slot:Waist,class:Priest
appearances	Waist_RBee_Wiz	Ceinture dansante d'arbre-ruche	2	91		Drops from Bee enemies	Bee - Nescent Hive@2074.8,141.1,-21.7;Bee - Honeywoods Canopy@-1060.4,908.6,195.2;Bee - Nescent Hive@2059.1,310,41.2	slot:Waist,class:Mage
appearances	Waist_RKobold_AssCle_Craft	Ceinture de la Grande fermentation	2	92		Craft: Outfitter (lvl 2)		slot:Waist,class:Any
appearances	Waist_Z2U2_Wiz	Ceinture de nomade enchantée	1	93		Uncommon gear from Vallée de l'éternel automne enemies		slot:Waist,class:Mage
appearances	Waist_Z2U2_AssCle	Ceinture de nomade éthérée	1	94		Uncommon gear from Vallée de l'éternel automne enemies		slot:Waist,class:Rogue,class:Priest
appearances	Waist_Z2U2_AssWiz	Ceinture de nomade imprégnée	1	95		Uncommon gear from Vallée de l'éternel automne enemies		slot:Waist,class:Rogue,class:Mage
appearances	Waist_Z2U2_Ass	Ceinture de nomade légère	1	96		Uncommon gear from Vallée de l'éternel automne enemies		slot:Waist,class:Rogue
appearances	Waist_Z2U2_WizCle	Ceinture de nomade runique	1	97		Uncommon gear from Vallée de l'éternel automne enemies		slot:Waist,class:Mage,class:Priest
appearances	Waist_Z2U2_Cle	Ceinture de nomade sacrée	1	98		Uncommon gear from Vallée de l'éternel automne enemies		slot:Waist,class:Priest
appearances	Waist_RDemon_Cle	Ceinture de sacrifice	2	99		Drops: Demonic Rifts	Rift - Krisomal North@1550.3,999.6,211.5	slot:Waist,class:Priest
appearances	Waist_RManfish_WizCle	Ceinture nepside de cérémonie	2	100		Drops from Manfish enemies	Manfish - Meridion Ruins@-199.2,1739.9,6.2;Manfish - Meridion Beach@-225.7,1943.9,5.8;Manfish - Krisomal Priaire@1786,642.2,4.9	slot:Waist,class:Mage,class:Priest
appearances	Waist_RManfish_Wiz_Craft	Ceinturon à bernacles	2	101		Craft: Outfitter (lvl 2)		slot:Waist,class:Any
appearances	Head_RCrimson_AssCle	Chapeau de haut fonctionnaire	2	102		Drops from Crimson enemies	Crimson - CrimsonIsland Cathedral@542.1,-860.5,219.8;Crimson - Krisomal Priaire@1242.8,714.8,101.4;Crimson - CrimsonIsland South@318.6,-592.2,111.5	slot:Head,class:Rogue,class:Priest
appearances	Chest_RManfish_Cle	Charme du Roi pêcheur	2	103		Drops from Manfish enemies	Manfish - Meridion Ruins@-199.2,1739.9,6.2;Manfish - Meridion Beach@-225.7,1943.9,5.8;Manfish - Krisomal Priaire@1786,642.2,4.9	slot:Chest,class:Priest
appearances	Feet_RManfish_AssWiz_Craft	Chausse-marées	2	104		Craft: Outfitter (lvl 1)		slot:Feet,class:Any
appearances	Legs_Starter_Wiz	Chausses d'apprenti	0	105		Starting outfit		slot:Legs,class:Mage
appearances	Feet_Starter_Wiz	Chaussures d'apprenti	0	106		Starting outfit		slot:Feet,class:Mage
appearances	Feet_Starter_Fig	Chaussures d'écuyer	0	107		Starting outfit		slot:Feet,class:Warrior
appearances	Feet_RKobold_AssCle	Chaussures de spéléologie du tunnel d'Emmen-Thal	2	108		Drops from Kobold enemies	Kobold - Eksod Kobolds@1100.1,-914.2,1.2;Kobold - Enripit Hollow@-567.2,388.7,3;Kobold - Enripit Hollow@-286.2,824.9,54.5	slot:Feet,class:Rogue,class:Priest
appearances	Chest_C_BaseClothes	Chemise blanche	0	109		Base clothing		slot:Chest,class:Any
appearances	Feet_RBee_WizCle_Craft	Chevauche-ruches	2	110		Craft: Outfitter (lvl 3)		slot:Feet,class:Any
appearances	Waist_RManfish_Fig	Coccyx de caryapside	2	111		Craft: Blacksmith (lvl 1)		slot:Waist,class:Warrior
appearances	Waist_RBee_AssCle	Coeur propolisé d'Apix	2	112		Drops from Bee enemies	Bee - Nescent Hive@2074.8,141.1,-21.7;Bee - Honeywoods Canopy@-1060.4,908.6,195.2;Bee - Nescent Hive@2059.1,310,41.2	slot:Waist,class:Rogue,class:Priest
appearances	Head_Z2U1_Wiz	Coiffe d'aventure enchantée	1	113		Uncommon gear from Vallée de l'éternel automne enemies		slot:Head,class:Mage
appearances	Head_Z2U1_WizCle	Coiffe d'aventure runique	1	114		Uncommon gear from Vallée de l'éternel automne enemies		slot:Head,class:Mage,class:Priest
appearances	Head_Z2U1_Cle	Coiffe d'aventure sacrée	1	115		Uncommon gear from Vallée de l'éternel automne enemies		slot:Head,class:Priest
appearances	Head_Z2U2_Wiz	Coiffe de voyage enchantée	1	116		Uncommon gear from Vallée de l'éternel automne enemies		slot:Head,class:Mage
appearances	Head_Z2U2_WizCle	Coiffe de voyage runique	1	117		Uncommon gear from Vallée de l'éternel automne enemies		slot:Head,class:Mage,class:Priest
appearances	Head_Z2U2_Cle	Coiffe de voyage sacrée	1	118		Uncommon gear from Vallée de l'éternel automne enemies		slot:Head,class:Priest
appearances	Legs_RDemon_FigAss	Collants de chaos imprégné	2	119		Drops: Demonic Rifts	Rift - Krisomal North@1550.3,999.6,211.5	slot:Legs,class:Warrior,class:Rogue
appearances	Head_RDemon_FigWiz	Cornes de nocte-roi	2	120		Drops: Demonic Rifts	Rift - Krisomal North@1550.3,999.6,211.5	slot:Head,class:Warrior,class:Mage
appearances	Legs_RManfish_Cle	Corsaire à grande vitesse	2	121		Drops from Manfish enemies	Manfish - Meridion Ruins@-199.2,1739.9,6.2;Manfish - Meridion Beach@-225.7,1943.9,5.8;Manfish - Krisomal Priaire@1786,642.2,4.9	slot:Legs,class:Priest
appearances	Waist_RDemon_FigCle	Corset de serviteur nocturne	2	122		Drops: Demonic Rifts	Rift - Krisomal North@1550.3,999.6,211.5	slot:Waist,class:Warrior,class:Priest
appearances	Feet_Z2U1_Wiz	Cothurnes d'aventure enchantés	1	123		Uncommon gear from Vallée de l'éternel automne enemies		slot:Feet,class:Mage
appearances	Feet_Z2U1_WizCle	Cothurnes d'aventure runiques	1	124		Uncommon gear from Vallée de l'éternel automne enemies		slot:Feet,class:Mage,class:Priest
appearances	Feet_Z2U1_Cle	Cothurnes d'aventure sacrés	1	125		Uncommon gear from Vallée de l'éternel automne enemies		slot:Feet,class:Priest
appearances	Feet_Z2U2_Wiz	Cothurnes de voyage enchantés	1	126		Uncommon gear from Vallée de l'éternel automne enemies		slot:Feet,class:Mage
appearances	Feet_Z2U2_WizCle	Cothurnes de voyage runiques	1	127		Uncommon gear from Vallée de l'éternel automne enemies		slot:Feet,class:Mage,class:Priest
appearances	Feet_Z2U2_Cle	Cothurnes de voyage sacrés	1	128		Uncommon gear from Vallée de l'éternel automne enemies		slot:Feet,class:Priest
appearances	Feet_RKobold_FigAss	Cothurnes du vide essentiel	2	129		Drops from Kobold enemies	Kobold - Eksod Kobolds@1100.1,-914.2,1.2;Kobold - Enripit Hollow@-567.2,388.7,3;Kobold - Enripit Hollow@-286.2,824.9,54.5	slot:Feet,class:Warrior,class:Rogue
appearances	Head_RManfish_Fig	Couronne de la mer	2	130		Drops from Manfish enemies	Manfish - Meridion Ruins@-199.2,1739.9,6.2;Manfish - Meridion Beach@-225.7,1943.9,5.8;Manfish - Krisomal Priaire@1786,642.2,4.9	slot:Head,class:Warrior
appearances	Back_RCrimson_AssWiz	Diamant de l'ordre	2	131		Drops from Crimson enemies	Crimson - CrimsonIsland Cathedral@542.1,-860.5,219.8;Crimson - Krisomal Priaire@1242.8,714.8,101.4;Crimson - CrimsonIsland South@318.6,-592.2,111.5	slot:Back,class:Rogue,class:Mage
appearances	Head_RKobold_WizCle	Écharpe antipoussière	2	132		Drops from Kobold enemies	Kobold - Eksod Kobolds@1100.1,-914.2,1.2;Kobold - Enripit Hollow@-567.2,388.7,3;Kobold - Enripit Hollow@-286.2,824.9,54.5	slot:Head,class:Mage,class:Priest
appearances	Back_RBee_FigWiz_Craft	Écharpe d'apiculture	2	133		Craft: Blacksmith (lvl 2)		slot:Back,class:Any
appearances	Back_Z2U1_Wiz	Écharpe d'aventure enchantée	1	134		Uncommon gear from Vallée de l'éternel automne enemies		slot:Back,class:Mage
appearances	Back_Z2U1_WizCle	Écharpe d'aventure runique	1	135		Uncommon gear from Vallée de l'éternel automne enemies		slot:Back,class:Mage,class:Priest
appearances	Back_Z2U1_Cle	Écharpe d'aventure sacrée	1	136		Uncommon gear from Vallée de l'éternel automne enemies		slot:Back,class:Priest
appearances	Back_Z1U1_Wiz	Écharpe d'exil enchantée	1	137		Uncommon gear from Île de Skover enemies		slot:Back,class:Mage
appearances	Back_Z1U1_WizCle	Écharpe d'exil runique	1	138		Uncommon gear from Île de Skover enemies		slot:Back,class:Mage,class:Priest
appearances	Back_Z1U1_Cle	Écharpe d'exil sacrée	1	139		Uncommon gear from Île de Skover enemies		slot:Back,class:Priest
appearances	Back_Z1U2_Wiz	Écharpe d'intrusion enchantée	1	140		Uncommon gear from Île de Skover enemies		slot:Back,class:Mage
appearances	Back_Z1U2_WizCle	Écharpe d'intrusion runique	1	141		Uncommon gear from Île de Skover enemies		slot:Back,class:Mage,class:Priest
appearances	Back_Z1U2_Cle	Écharpe d'intrusion sacrée	1	142		Uncommon gear from Île de Skover enemies		slot:Back,class:Priest
appearances	Back_Z2U2_Wiz	Écharpe de nomade enchantée	1	143		Uncommon gear from Vallée de l'éternel automne enemies		slot:Back,class:Mage
appearances	Back_Z2U2_WizCle	Écharpe de nomade runique	1	144		Uncommon gear from Vallée de l'éternel automne enemies		slot:Back,class:Mage,class:Priest
appearances	Back_Z2U2_Cle	Écharpe de nomade sacrée	1	145		Uncommon gear from Vallée de l'éternel automne enemies		slot:Back,class:Priest
appearances	Feet_RDemon_Fig	Écraseuses démoniaques	2	146		Drops: Demonic Rifts	Rift - Krisomal North@1550.3,999.6,211.5	slot:Feet,class:Warrior
appearances	Waist_RManfish_AssWiz	Emblème de la Troisième vague	2	147		Drops from Manfish enemies	Manfish - Meridion Ruins@-199.2,1739.9,6.2;Manfish - Meridion Beach@-225.7,1943.9,5.8;Manfish - Krisomal Priaire@1786,642.2,4.9	slot:Waist,class:Rogue,class:Mage
appearances	Chest_RBee_AssCle	Emblème de nectar rayonnant	2	148		Drops from Bee enemies	Bee - Nescent Hive@2074.8,141.1,-21.7;Bee - Honeywoods Canopy@-1060.4,908.6,195.2;Bee - Nescent Hive@2059.1,310,41.2	slot:Chest,class:Rogue,class:Priest
appearances	Hands_RDemon_FigAss	Emprise du chaos primordial	2	149		Drops: Demonic Rifts	Rift - Krisomal North@1550.3,999.6,211.5	slot:Hands,class:Warrior,class:Rogue
appearances	Shoulders_RKobold_Ass	Épaulettes fromagères	2	150		Drops from Kobold enemies	Kobold - Eksod Kobolds@1100.1,-914.2,1.2;Kobold - Enripit Hollow@-567.2,388.7,3;Kobold - Enripit Hollow@-286.2,824.9,54.5	slot:Shoulders,class:Rogue
appearances	Shoulders_RManfish_FigAss	Épaulières abyssales	2	151		Drops from Manfish enemies	Manfish - Meridion Ruins@-199.2,1739.9,6.2;Manfish - Meridion Beach@-225.7,1943.9,5.8;Manfish - Krisomal Priaire@1786,642.2,4.9	slot:Shoulders,class:Warrior,class:Rogue
appearances	Shoulders_RDemon_Fig	Épaulières aux gueules béantes	2	152		Drops: Demonic Rifts	Rift - Krisomal North@1550.3,999.6,211.5	slot:Shoulders,class:Warrior
appearances	Shoulders_Z2U1_FigCle	Épaulières d'aventure bénies	1	153		Uncommon gear from Vallée de l'éternel automne enemies		slot:Shoulders,class:Warrior,class:Priest
